Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Image Src
grout-tile-stone-cleaner-spray-wipe,Grout Tile & Stone Cleaner (Spray & Wipe),"Ready to use, fast acting stain remover. Safe for all surfaces (avoid unsealed polished stone). Great for everyday use.",Sure Seal,Cleaners,retail,TRUE,Size,750ML,GTS750U,1000,shopify,100,deny,manual,17.55,,https://suresealsealants.com.au/images/cleaner_gts750u_front.png
grout-tile-stone-cleaner-spray-wipe,,,,,,,Size,750ML Wholesale,GTS750U-W,1000,shopify,100,deny,manual,12.76,,
grout-tile-stone-cleaner-concentrate,Grout Tile & Stone Cleaner Concentrate,"Concentrated heavy duty cleaner. Cleans toughest stains. Great for dirt removal and cleaning concrete. Recommended for use on sealed surfaces.",Sure Seal,Cleaners,retail,TRUE,Size,1 LTR,GTS1U,1200,shopify,100,deny,manual,20.95,,https://suresealsealants.com.au/images/cleaner_gts1u_group.png
grout-tile-stone-cleaner-concentrate,,,,,,,Size,4 LTR,GTS4U,4500,shopify,100,deny,manual,76.95,,
grout-tile-stone-cleaner-concentrate,,,,,,,Size,20 LTR,GTS20D,21000,shopify,100,deny,manual,326.75,,
grout-tile-stone-cleaner-concentrate,,,,,,,Size,1 LTR Wholesale,GTS1U-W,1200,shopify,100,deny,manual,15.24,,
grout-tile-stone-cleaner-concentrate,,,,,,,Size,4 LTR Wholesale,GTS4U-W,4500,shopify,100,deny,manual,55.96,,
grout-tile-stone-cleaner-concentrate,,,,,,,Size,20 LTR Wholesale,GTS20D-W,21000,shopify,100,deny,manual,237.64,,
eff-plus-remover,Eff-Plus Remover,"Removes efflorescence, grout haze, cement, and rust stains.",Sure Seal,Cleaners,retail,TRUE,Size,1 LTR,EFFP1U,1200,shopify,100,deny,manual,18.45,,https://suresealsealants.com.au/images/cleaner_effp1u_group.jpg
eff-plus-remover,,,,,,,Size,4 LTR,EFFP4U,4500,shopify,100,deny,manual,56.65,,
eff-plus-remover,,,,,,,Size,20 LTR,EFFP20D,21000,shopify,100,deny,manual,239.60,,
eff-plus-remover,,,,,,,Size,1 LTR Wholesale,EFFP1U-W,1200,shopify,100,deny,manual,13.42,,
eff-plus-remover,,,,,,,Size,4 LTR Wholesale,EFFP4U-W,4500,shopify,100,deny,manual,41.20,,
eff-plus-remover,,,,,,,Size,20 LTR Wholesale,EFFP20D-W,21000,shopify,100,deny,manual,174.25,,
sure-clean-porcelain-paste-cleaner,Sure Clean Porcelain Paste Cleaner,"Removes wax, grease, oil, and soap scum. Ideal for polished porcelain and natural stone.",Sure Seal,Cleaners,retail,TRUE,Size,1 LTR,SC1U,1200,shopify,100,deny,manual,30.50,,https://suresealsealants.com.au/images/cleaner_sc1u_group.png
sure-clean-porcelain-paste-cleaner,,,,,,,Size,4 LTR,SC4U,4500,shopify,100,deny,manual,109.50,,
sure-clean-porcelain-paste-cleaner,,,,,,,Size,20 LTR,SC20D,21000,shopify,100,deny,manual,375.90,,
sure-clean-porcelain-paste-cleaner,,,,,,,Size,1 LTR Wholesale,SC1U-W,1200,shopify,100,deny,manual,22.18,,
sure-clean-porcelain-paste-cleaner,,,,,,,Size,4 LTR Wholesale,SC4U-W,4500,shopify,100,deny,manual,79.64,,
sure-clean-porcelain-paste-cleaner,,,,,,,Size,20 LTR Wholesale,SC20D-W,21000,shopify,100,deny,manual,273.38,,
rug-carpet-textile-stain-remover,Rug Carpet & Textile Stain Remover,"Fast acting stain remover. Safe & easy to use. For rugs, carpet, car mats & more.",Sure Seal,Cleaners,retail,TRUE,Size,750ML,RCSR750U,1000,shopify,100,deny,manual,17.75,,https://suresealsealants.com.au/images/cleaner_rcsr750u_front.png
rug-carpet-textile-stain-remover,,,,,,,Size,750ML Wholesale,RCSR750U-W,1000,shopify,100,deny,manual,12.91,,
grout-tile-stone-sealer-quick-drying-aerosol,Grout Tile & Stone Sealer (Quick Drying Aerosol),"World's First Aerosol Sealer. Used and recommended by many tilers & contractors. Long lasting stain protection. Resists water and oil based stains. Helps prevent mould & mildew.",Sure Seal,Aerosols,retail,TRUE,Size,300g,QDAU,400,shopify,100,deny,manual,34.95,,https://suresealsealants.com.au/images/sealer_gts300a_front.png
grout-tile-stone-sealer-quick-drying-aerosol,,,,,,,Size,300g Wholesale,QDAU-W,400,shopify,100,deny,manual,25.42,,
